ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
227.770020978637,56.1697762946582,16.05155,J151100.30+560958.9,8/25/2017 3:11:00 PM,+56:09:58.9,227.7513,56.16636,1.771,18.85,N-rich_QSO
227.750066822598,56.1615594710062,14.60911,J151100.30+560958.9,8/25/2017 3:11:00 PM,+56:09:58.9,227.7513,56.16636,1.771,18.85,N-rich_QSO
207.191331341705,25.5903203706893,16.88899,J134848.72+253511.8,8/25/2017 1:48:48 PM,+25:35:11.8,207.203,25.58661,1.775,18.67,N-rich_QSO
207.186585039721,25.5896355885155,16.06774,J134848.72+253511.8,8/25/2017 1:48:48 PM,+25:35:11.8,207.203,25.58661,1.775,18.67,N-rich_QSO
227.740128630779,56.175765499275,14.23986,J151100.30+560958.9,8/25/2017 3:11:00 PM,+56:09:58.9,227.7513,56.16636,1.771,18.85,N-rich_QSO
204.273574666235,-2.77374785226349,16.2021,J133701.39-024630.3,8/25/2017 1:37:01 PM,-02:46:30.3,204.2558,-2.775083,3.05,18.41,N-rich_QSO
204.257045847997,-2.76978455222389,16.79036,J133701.39-024630.3,8/25/2017 1:37:01 PM,-02:46:30.3,204.2558,-2.775083,3.05,18.41,N-rich_QSO
204.24814160185,-2.79162643464244,12.50277,J133701.39-024630.3,8/25/2017 1:37:01 PM,-02:46:30.3,204.2558,-2.775083,3.05,18.41,N-rich_QSO
216.974905381461,47.5323012559376,16.81208,J142756.71+473148.4,8/25/2017 2:27:56 PM,+47:31:48.4,216.9863,47.53011,1.97,19.07,N-rich_QSO
201.476102867769,-1.56814762120634,15.09541,J132551.56-013509.6,8/25/2017 1:25:51 PM,-01:35:09.6,201.4648,-1.586,1.975,19.64,N-rich_QSO
338.542178542688,0.0126305031984768,15.62715,J223408.99+000001.6,8/25/2017 10:34:08 PM,+00:00:01.6,338.5374,0.0004444444,3.025,17.08,N-rich_QSO
