ra,dec,r,name,ra_hms,dec_dms,ra_deg,dec_deg,z,imag,comment
128.213488781343,6.97630952560696,15.20549,J083251.03+065738.5,8/25/2017 8:32:51 AM,+06:57:38.5,128.2126,6.960694,3.426,20.04,N-rich_QSO
128.19390450908,6.96900847191654,12.69508,J083251.03+065738.5,8/25/2017 8:32:51 AM,+06:57:38.5,128.2126,6.960694,3.426,20.04,N-rich_QSO
118.14135646013,27.455035788583,14.38135,J075230.44+272619.8,8/25/2017 7:52:30 AM,+27:26:19.8,118.1268,27.43883,1.708,18.25,N-rich_QSO
119.11710068319,25.4903164484897,12.61976,J075623.51+252917.9,8/25/2017 7:56:23 AM,+25:29:17.9,119.098,25.48831,1.958,18.44,N-rich_QSO
119.113386976772,25.4869499504941,15.07055,J075623.51+252917.9,8/25/2017 7:56:23 AM,+25:29:17.9,119.098,25.48831,1.958,18.44,N-rich_QSO
119.101415670599,25.4938708936117,15.69479,J075623.51+252917.9,8/25/2017 7:56:23 AM,+25:29:17.9,119.098,25.48831,1.958,18.44,N-rich_QSO
119.089524954331,25.4762141673353,15.97703,J075623.51+252917.9,8/25/2017 7:56:23 AM,+25:29:17.9,119.098,25.48831,1.958,18.44,N-rich_QSO
119.08375566088,25.4715375794165,16.71248,J075623.51+252917.9,8/25/2017 7:56:23 AM,+25:29:17.9,119.098,25.48831,1.958,18.44,N-rich_QSO
115.150833853249,28.9916728074021,16.30047,J074033.26+285838.8,8/25/2017 7:40:33 AM,+28:58:38.8,115.1386,28.97744,2.039,18.91,N-rich_QSO
120.683893068943,21.9941203767273,15.94029,J080244.40+215845.3,8/25/2017 8:02:44 AM,+21:58:45.3,120.685,21.97925,2.068,18.62,N-rich_QSO
120.695339736995,21.976595053457,14.96612,J080244.40+215845.3,8/25/2017 8:02:44 AM,+21:58:45.3,120.685,21.97925,2.068,18.62,N-rich_QSO
120.696760877191,21.9597525163735,15.57971,J080244.40+215845.3,8/25/2017 8:02:44 AM,+21:58:45.3,120.685,21.97925,2.068,18.62,N-rich_QSO
125.697398837535,7.21587872766366,16.19796,J082247.75+071154.7,8/25/2017 8:22:47 AM,+07:11:54.7,125.699,7.198528,1.703,18.85,N-rich_QSO
125.050795954404,8.22271143204874,15.98608,J082016.11+081215.9,8/25/2017 8:20:16 AM,+08:12:15.9,125.0671,8.204416,2.024,19.04,N-rich_QSO
125.055351424384,8.19681826156212,16.12484,J082016.11+081215.9,8/25/2017 8:20:16 AM,+08:12:15.9,125.0671,8.204416,2.024,19.04,N-rich_QSO
119.131691524768,20.9157330566609,15.575,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
119.126451290397,20.9152856746105,16.24977,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
119.135143460892,20.8852418227326,16.94716,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
119.117887981337,20.9084635801215,12.78632,J075627.70+205413.9,8/25/2017 7:56:27 AM,+20:54:13.9,119.1154,20.90386,2.211,19.1,N-rich_QSO
